 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2003- 1- 7  0: 0: 0,     0.000,     0.212,     0.042,     0.022,    37.299,     0.518,     0.008,     1.416,     0.000,     0.000,    25.167,    25.167
2003- 1- 7  3: 0: 0,     0.000,     0.212,     0.042,     0.022,    37.234,     0.517,     0.007,     1.411,     0.000,     0.000,    25.903,    25.903
2003- 1- 7  6: 0: 0,     0.019,     0.212,     0.042,     0.023,    37.202,     0.517,     0.008,     1.408,     0.001,     0.005,    26.663,    26.663
2003- 1- 7  9: 0: 0,     0.000,     0.212,     0.042,     0.022,    37.137,     0.516,     0.007,     1.403,     0.000,     0.000,    27.439,    27.439
2003- 1- 7 12: 0: 0,     0.004,     0.212,     0.042,     0.023,    37.078,     0.515,     0.007,     1.398,     0.000,     0.000,    28.227,    28.227
2003- 1- 7 15: 0: 0,     0.007,     0.212,     0.042,     0.022,    37.025,     0.514,     0.007,     1.394,     0.000,     0.002,    29.022,    29.022
2003- 1- 7 18: 0: 0,     0.013,     0.212,     0.042,     0.022,    36.983,     0.514,     0.007,     1.390,     0.001,     0.004,    29.818,    29.818
2003- 1- 7 21: 0: 0,     0.000,     0.212,     0.042,     0.022,    36.918,     0.513,     0.006,     1.384,     0.000,     0.000,    30.610,    30.610
2003- 1- 8  0: 0: 0,     0.000,     0.212,     0.042,     0.022,    36.852,     0.512,     0.006,     1.379,     0.000,     0.000,    31.393,    31.393
2003- 1- 8  3: 0: 0,     0.000,     0.212,     0.042,     0.022,    36.788,     0.511,     0.005,     1.373,     0.000,     0.000,    32.166,    32.166
2003- 1- 8  6: 0: 0,     0.000,     0.212,     0.042,     0.022,    36.723,     0.510,     0.005,     1.367,     0.000,     0.000,    32.927,    32.927
2003- 1- 8  9: 0: 0,     0.000,     0.212,     0.042,     0.022,    36.658,     0.509,     0.004,     1.361,     0.000,     0.000,    33.673,    33.673
2003- 1- 8 12: 0: 0,     0.000,     0.212,     0.042,     0.022,    36.594,     0.508,     0.004,     1.355,     0.000,     0.000,    34.402,    34.402
2003- 1- 8 15: 0: 0,     0.069,     0.212,     0.042,     0.024,    36.659,     0.509,     0.006,     1.354,     0.004,     0.019,    35.114,    35.114
2003- 1- 8 18: 0: 0,     0.020,     0.212,     0.042,     0.024,    36.630,     0.509,     0.006,     1.349,     0.001,     0.005,    35.806,    35.806
2003- 1- 8 21: 0: 0,     0.000,     0.212,     0.042,     0.021,    36.566,     0.508,     0.006,     1.343,     0.000,     0.000,    36.479,    36.479
2003- 1- 9  0: 0: 0,     0.000,     0.212,     0.042,     0.021,    36.501,     0.507,     0.006,     1.336,     0.000,     0.000,    37.133,    37.133
2003- 1- 9  3: 0: 0,     0.000,     0.212,     0.042,     0.021,    36.437,     0.506,     0.006,     1.329,     0.000,     0.000,    37.771,    37.771
2003- 1- 9  6: 0: 0,     0.000,     0.212,     0.042,     0.021,    36.373,     0.505,     0.006,     1.323,     0.000,     0.000,    38.388,    38.388
2003- 1- 9  9: 0: 0,     0.000,     0.212,     0.042,     0.021,    36.309,     0.505,     0.005,     1.316,     0.000,     0.000,    38.985,    38.985
2003- 1- 9 12: 0: 0,     0.000,     0.212,     0.042,     0.021,    36.245,     0.504,     0.005,     1.309,     0.000,     0.000,    39.564,    39.564
2003- 1- 9 15: 0: 0,     0.030,     0.212,     0.042,     0.022,    36.233,     0.503,     0.006,     1.304,     0.002,     0.010,    40.123,    40.123
2003- 1- 9 18: 0: 0,     0.029,     0.212,     0.042,     0.022,    36.220,     0.503,     0.007,     1.299,     0.002,     0.009,    40.667,    40.667
2003- 1- 9 21: 0: 0,     0.000,     0.212,     0.042,     0.021,    36.156,     0.502,     0.007,     1.292,     0.000,     0.000,    41.194,    41.194
2003- 1-10  0: 0: 0,     0.000,     0.212,     0.042,     0.021,    36.093,     0.502,     0.006,     1.285,     0.000,     0.000,    41.705,    41.705
