 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2003- 1- 6  6: 0: 0,     0.000,     0.215,     0.043,     0.025,    41.944,     0.583,     0.147,     1.663,     0.000,     0.000,    37.165,    37.165
2003- 1- 6  9: 0: 0,     0.000,     0.215,     0.043,     0.025,    41.869,     0.582,     0.118,     1.660,     0.000,     0.000,    37.605,    37.605
2003- 1- 6 12: 0: 0,     0.000,     0.215,     0.043,     0.025,    41.794,     0.581,     0.092,     1.656,     0.000,     0.000,    37.048,    37.048
2003- 1- 6 15: 0: 0,     0.045,     0.215,     0.043,     0.028,    41.799,     0.581,     0.072,     1.656,     0.002,     0.013,    35.952,    35.952
2003- 1- 6 18: 0: 0,     0.023,     0.215,     0.043,     0.026,    41.767,     0.580,     0.055,     1.654,     0.001,     0.007,    34.727,    34.727
2003- 1- 6 21: 0: 0,     0.004,     0.215,     0.043,     0.025,    41.697,     0.579,     0.042,     1.650,     0.000,     0.002,    33.642,    33.642
2003- 1- 7  0: 0: 0,     0.000,     0.215,     0.043,     0.025,    41.623,     0.578,     0.032,     1.646,     0.000,     0.000,    32.814,    32.814
2003- 1- 7  3: 0: 0,     0.004,     0.215,     0.043,     0.025,    41.555,     0.577,     0.025,     1.643,     0.000,     0.001,    32.258,    32.258
2003- 1- 7  6: 0: 0,     0.015,     0.215,     0.043,     0.026,    41.507,     0.577,     0.020,     1.640,     0.001,     0.004,    31.943,    31.943
2003- 1- 7  9: 0: 0,     0.000,     0.215,     0.043,     0.025,    41.433,     0.576,     0.017,     1.635,     0.000,     0.000,    31.824,    31.824
2003- 1- 7 12: 0: 0,     0.003,     0.215,     0.043,     0.026,    41.363,     0.575,     0.014,     1.631,     0.000,     0.000,    31.854,    31.854
2003- 1- 7 15: 0: 0,     0.005,     0.215,     0.043,     0.025,    41.299,     0.574,     0.012,     1.627,     0.000,     0.001,    31.988,    31.988
2003- 1- 7 18: 0: 0,     0.010,     0.215,     0.043,     0.025,    41.243,     0.573,     0.011,     1.624,     0.001,     0.003,    32.192,    32.192
2003- 1- 7 21: 0: 0,     0.000,     0.215,     0.043,     0.025,    41.169,     0.572,     0.010,     1.619,     0.000,     0.000,    32.442,    32.442
2003- 1- 8  0: 0: 0,     0.000,     0.215,     0.043,     0.025,    41.095,     0.571,     0.009,     1.615,     0.000,     0.000,    32.718,    32.718
2003- 1- 8  3: 0: 0,     0.000,     0.215,     0.043,     0.025,    41.022,     0.570,     0.008,     1.610,     0.000,     0.000,    33.008,    33.008
2003- 1- 8  6: 0: 0,     0.000,     0.215,     0.043,     0.024,    40.948,     0.569,     0.008,     1.606,     0.000,     0.000,    33.304,    33.304
2003- 1- 8  9: 0: 0,     0.000,     0.215,     0.043,     0.024,    40.875,     0.568,     0.007,     1.601,     0.000,     0.000,    33.600,    33.600
2003- 1- 8 12: 0: 0,     0.000,     0.215,     0.043,     0.024,    40.802,     0.567,     0.007,     1.596,     0.000,     0.000,    33.890,    33.890
2003- 1- 8 15: 0: 0,     0.054,     0.215,     0.043,     0.026,    40.830,     0.567,     0.008,     1.595,     0.003,     0.015,    34.173,    34.173
2003- 1- 8 18: 0: 0,     0.057,     0.215,     0.043,     0.027,    40.857,     0.568,     0.010,     1.595,     0.003,     0.018,    34.444,    34.444
2003- 1- 8 21: 0: 0,     0.000,     0.215,     0.043,     0.024,    40.784,     0.567,     0.010,     1.590,     0.000,     0.000,    34.703,    34.703
2003- 1- 9  0: 0: 0,     0.000,     0.215,     0.043,     0.024,    40.711,     0.566,     0.009,     1.586,     0.000,     0.000,    34.948,    34.948
2003- 1- 9  3: 0: 0,     0.000,     0.215,     0.043,     0.024,    40.638,     0.565,     0.009,     1.581,     0.000,     0.000,    35.177,    35.177
2003- 1- 9  6: 0: 0,     0.000,     0.215,     0.043,     0.024,    40.565,     0.564,     0.009,     1.576,     0.000,     0.000,    35.390,    35.390
2003- 1- 9  9: 0: 0,     0.000,     0.215,     0.043,     0.024,    40.493,     0.563,     0.008,     1.571,     0.000,     0.000,    35.588,    35.588
2003- 1- 9 12: 0: 0,     0.000,     0.215,     0.043,     0.024,    40.420,     0.562,     0.008,     1.566,     0.000,     0.000,    35.769,    35.769
2003- 1- 9 15: 0: 0,     0.023,     0.215,     0.043,     0.025,    40.389,     0.561,     0.008,     1.563,     0.001,     0.008,    35.935,    35.935
2003- 1- 9 18: 0: 0,     0.022,     0.215,     0.043,     0.025,    40.356,     0.561,     0.009,     1.560,     0.001,     0.007,    36.087,    36.086
2003- 1- 9 21: 0: 0,     0.000,     0.215,     0.043,     0.024,    40.283,     0.560,     0.009,     1.555,     0.000,     0.000,    36.226,    36.226
2003- 1-10  0: 0: 0,     0.000,     0.215,     0.043,     0.024,    40.211,     0.559,     0.008,     1.550,     0.000,     0.000,    36.355,    36.355
