Date,runoff
2012113021,7.027285867
2012120103,7.041444267
2012120109,6.9234576
2012120115,6.844406533
2012120121,6.8101904
2012120203,6.866824
2012120209,6.9411556
2012120215,7.0721208
2012120221,7.0792
2012120303,7.1075168
2012120309,7.1110564
2012120315,7.149992
2012120321,7.0898188
2012120403,7.095718133
2012120409,7.119315467
2012120415,7.1712296
2012120421,7.2314028
2012120503,7.273878
2012120509,7.395404267
2012120515,7.520470133
2012120521,7.529909067
2012120603,7.579463467
2012120609,7.5889024
2012120615,7.6384568
2012120621,7.5499668
2012120703,7.437879467
2012120709,7.240841733
2012120715,7.190107467
2012120721,7.116955733
2012120803,7.1606108
2012120809,7.194826933
2012120815,7.240841733
2012120821,7.3411304
2012120903,7.3234324
2012120909,7.2951156
2012120915,7.434339867
2012120921,7.4756352
2012121003,7.477994933
2012121009,7.513390933
2012121015,7.551146667
2012121021,7.5322688
2012121103,7.501592267
2012121109,7.4756352
2012121115,7.586542667
2012121121,8.228390133
2012121203,8.2932828
2012121209,7.680932
2012121215,7.301014933
2012121221,7.682111867
2012121303,7.9959564
2012121309,7.9676396
2012121315,7.703349467
2012121321,7.539348
2012121403,7.6242984
2012121409,7.915725467
2012121415,8.8702376
2012121421,9.920318933
2012121503,9.881383333
2012121509,9.407076933
2012121515,9.2949896
2012121521,9.4401132
2012121603,9.681985867
2012121609,9.99937
2012121615,10.26484
2012121621,10.194048
2012121703,10.1975876
2012121709,10.671894
2012121715,11.23823
2012121721,11.4647644
2012121803,11.8788976
2012121809,12.44995307
2012121815,13.62628013
2012121821,14.3106028
2012121903,14.3672364
2012121909,14.3601572
2012121915,14.81558573
2012121921,14.92177373
2012122003,14.5973104
2012122009,14.36133707
2012122015,14.25632893
2012122021,13.74662653
2012122103,13.45165987
2012122109,14.05693147
2012122115,14.50646067
2012122121,14.6150084
2012122203,14.93947173
2012122209,16.34705267
2012122215,17.77705107
2012122221,17.945772
2012122303,17.67558253
2012122309,17.41601187
2012122315,17.26380907
2012122321,17.02783573
2012122403,16.80838053
2012122409,16.61724213
2012122415,16.48981653
2012122421,16.2538432
2012122503,16.07922293
2012122509,15.88454493
2012122515,15.71110453
2012122521,15.44917413
2012122603,15.27101427
2012122609,15.13061013
2012122615,15.73470187
2012122621,21.56796267
2012122703,25.0320512
2012122803,67.60636
2012122809,68.951408
2012122815,71.19315467
