NSCE  Elapsed_Time  RainFact    Ksat    WM    B    IM    KE    coeM    expM    coeR    coeS    KS    KI  
-4.485902e-01:  26.4375   0.901331  98.654215  140.412188  1.392991  1.664903  1.373528  45.950731  0.660399  0.613812  3.271381  1.273456  1.490620 
-7.686761e-01:  26.5000   1.073570  122.388092  387.650372  5.993403  3.717329  1.092076  57.942654  0.827648  1.334771  2.905470  0.866959  2.303339 
-5.392548e-01:  29.0781   0.686398  22.657998  79.809064  5.323836  3.342981  1.314317  9.185279  1.085231  0.500772  1.336812  1.451214  1.096176 
-8.603456e-01:  26.1563   0.694422  35.971511  270.939882  3.913221  2.387530  1.318927  43.981479  0.373315  1.468153  0.056379  1.942764  3.228303 
-4.648012e-01:  27.2031   1.149570  120.191009  426.590395  0.307189  0.421209  0.411164  38.721886  0.706268  1.247273  2.189142  1.554733  2.845687 
-3.548087e-01:  26.8281   1.224537  110.288381  424.762897  3.731421  1.063162  0.828665  146.736022  0.445923  0.917981  2.430856  0.649728  2.609963 
-5.378526e-01:  26.6406   1.200346  40.818539  70.010193  1.386902  2.970634  0.976159  124.320785  0.628457  0.512895  2.649681  0.629295  3.814210 
-8.112995e-01:  27.0469   1.015542  193.180763  261.318206  2.270041  3.852652  0.509780  63.430860  0.380220  1.222582  0.785060  1.035734  0.648949 
-4.641870e-01:  26.5625   0.610543  14.082861  175.082541  2.978543  0.119112  0.671436  18.461311  0.663500  0.930480  2.437596  1.481996  0.795163 
-8.238653e-01:  27.2500   0.997885  188.639267  272.274157  3.370764  1.512999  0.221177  92.252806  0.745759  0.582264  2.818781  1.559687  2.834874 
-4.356978e-01:  26.6094   0.645258  101.153202  311.763287  0.833668  1.271239  1.129640  29.902703  0.877969  1.116286  1.586778  1.963980  0.839505 
6.253047e-02:  27.7656   1.257657  133.860867  225.567212  1.464838  1.815792  1.252770  28.725779  0.824108  1.417136  2.553743  0.314729  0.282690 
-5.421704e-01:  29.7500   1.046377  14.586513  68.124028  1.328404  0.812810  0.113398  65.164328  0.986915  0.804102  1.948006  1.488456  3.551480 
-1.887499e-01:  28.2969   1.252379  96.531424  300.533135  5.080213  3.403237  1.285484  97.861982  0.385506  0.539363  1.941844  0.183525  3.839821 
-9.936813e-01:  28.1719   1.140936  65.644368  80.399834  4.138785  1.100142  1.123701  135.323515  0.405927  1.079022  1.511098  1.236669  3.197233 
-2.010522e-01:  28.2969   0.916144  137.899404  80.015231  3.951644  0.483542  0.845403  77.308489  0.714208  1.121132  1.513576  0.276553  0.519237 
-2.036026e+00:  28.3750   1.237125  31.286182  55.982068  2.280478  3.488531  0.889009  74.767761  0.692855  0.864846  3.241323  1.542011  0.183324 
-2.038398e-01:  29.0781   0.765421  177.855223  470.620983  4.396661  3.341009  0.172948  135.759140  0.919821  1.466959  0.097717  0.734431  1.086895 
-4.891517e-01:  28.3594   0.827476  142.730386  306.860439  5.481157  0.436033  1.135181  97.870529  0.428075  1.185753  1.604028  0.934807  3.206820 
-2.456543e-01:  28.5000   1.385929  33.594559  163.400905  3.205184  0.600625  0.578895  129.977782  0.351429  0.948727  3.027415  0.338496  1.685739 
-4.502300e-01:  28.0313   0.905084  169.758203  359.005072  1.935854  1.811386  0.285270  78.587440  0.959645  1.255985  1.435499  1.126859  2.494118 
-4.236339e-01:  28.4844   0.947845  172.112283  258.241112  0.701285  0.864889  0.326389  114.109108  1.057204  1.331819  1.838546  1.783267  0.321142 
-6.446778e-01:  27.9063   1.228602  136.140574  438.371082  3.700839  1.182457  1.216461  83.773266  0.930188  0.884408  2.083162  1.539186  1.974600 
-6.842840e-01:  28.2188   0.707056  121.627702  162.768031  3.608116  3.354498  0.258715  107.288754  0.977306  1.244929  1.167483  1.225791  2.589957 
-4.427439e-01:  27.8750   0.692768  177.782832  302.295398  5.407419  0.945130  0.626311  35.095263  0.877471  0.522473  2.059988  1.362303  3.474417 
-1.554060e-01:  28.7969   1.344290  120.063315  258.750990  5.095715  0.393155  0.602176  135.092240  0.562839  1.195634  0.950499  0.862124  0.317568 
-1.301687e-01:  28.3594   1.074801  153.127307  267.889790  3.677565  1.458538  0.978491  64.284445  0.930257  1.023907  1.599994  0.148834  1.885231 
-2.030641e+00:  28.6563   1.386538  52.654363  223.707705  1.040251  2.439765  0.497873  60.669119  0.337521  0.806569  1.766622  1.887486  0.182300 
-2.752548e-01:  30.2188   0.736728  117.883256  95.393119  5.102996  0.829606  0.747927  89.879305  0.317952  0.999742  0.963260  0.029092  3.864307 
